date,ticker,sector,open,high,low,close,volume,daily_return_pct,1_d_return,vix_end_of_day,sp500_return_today
29/03/2022,APA,Energy,38.88,40.97,38.52,40.96,7534484.0,2.78544542,0.59%,18.89999962,1.225654743
30/03/2022,APA,Energy,41.45,42.36,40.68,41.2,9015751.0,0.5859375,0.32%,19.32999992,-0.629370017
31/03/2022,APA,Energy,41.06,42.77,40.8,41.33,7934454.0,0.315533981,2.15%,20.55999947,-1.565254071
01/04/2022,APA,Energy,41.415,42.69,41.415,42.22,5005443.0,2.153399468,1.80%,19.62999916,0.341022258
04/04/2022,APA,Energy,43.0,43.69,42.27,42.98,6946894.0,1.800094742,-3.00%,18.56999969,0.809093869
05/04/2022,APA,Energy,43.23,43.88,41.58,41.69,7330072.0,-3.001395998,-2.11%,21.03000069,-1.25517208
06/04/2022,APA,Energy,41.9,42.24,40.36,40.81,7368103.0,-2.110817942,0.47%,22.10000038,-0.971691661
07/04/2022,APA,Energy,41.57,41.91,39.3629,41.0,8406665.0,0.465572164,4.93%,21.54999924,0.425338563
08/04/2022,APA,Energy,41.37,43.395,41.3,43.02,6628067.0,4.926829268,-4.53%,21.15999985,-0.265102648
11/04/2022,APA,Energy,42.36,42.44,40.73,41.07,9983146.0,-4.532775453,2.70%,24.37000084,-1.68772901
12/04/2022,APA,Energy,41.98,43.255,41.95,42.18,5817489.0,2.702702703,3.39%,24.26000023,-0.341744772
13/04/2022,APA,Energy,42.85,43.99,42.13,43.61,6519518.0,3.390232338,0.16%,21.81999969,1.11745776
14/04/2022,APA,Energy,43.37,44.28,43.32,43.68,5117043.0,0.160513644,0.69%,22.70000076,-1.214413784
18/04/2022,APA,Energy,44.11,44.99,43.46,43.98,10373428.0,0.686813187,0.93%,22.17000008,-0.020486828
19/04/2022,APA,Energy,43.55,45.2194,43.46,44.39,6837106.0,0.932241928,-0.14%,21.37000084,1.605760436
20/04/2022,APA,Energy,44.43,45.15,43.945,44.33,8777227.0,-0.135165578,-4.83%,20.31999969,-0.061847507
21/04/2022,APA,Energy,44.89,45.22,41.6833,42.19,9915362.0,-4.827430634,-3.51%,22.68000031,-1.47529485
